nombre,poblacion,superficie,continente
Argentina,47032768,2780400,América
Brasil,203080756,8515767,América
Estados Unidos,340110988,9833517,América
México,130861007,1964375,América
Canadá,41528880,9984670,América
Alemania,84552242,357022,Europa
Francia,68648000,551695,Europa
España,49077684,505990,Europa
Italia,58993475,301340,Europa
Reino Unido,69138192,243610,Europa
China,1409670000,9596961,Asia
India,1463865525,3287263,Asia
Japón,123960000,377975,Asia
Corea del Sur,51717480,100210,Asia
Indonesia,285721236,1904569,Asia
Nigeria,237527782,923768,África
Egipto,118365995,1002450,África
Sudáfrica,64847319,1221037,África
Argelia,47435312,2381741,África
Kenia,57932930,580367,África
Australia,27309400,7692024,Oceanía
Nueva Zelanda,5316800,268838,Oceanía
Papúa Nueva Guinea,10762000,462840,Oceanía
Fiyi,933154,18274,Oceanía
Samoa,225681,2842,Oceanía
